table_number,table_name,data_group,source_study,airflow_normal_m3_s,z_m,b_smooth_m,U_smooth_m_s,q_m3_s,gamma,value_basis,source
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.0221,8.65,1.086,0.807,0.0197,1.13,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00021,0.32,0.024,0.664,0.0002,,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00021,0.96,0.064,0.432,0.0002,2.1,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00021,1.58,0.101,0.331,0.0002,2.45,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00021,2.2,0.129,0.319,0.0002,2.32,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00021,2.78,0.144,0.36,0.0002,1.93,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.0005,0.32,0.03,0.772,0.0004,,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.0005,0.96,0.085,0.537,0.0004,1.74,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.0005,1.58,0.125,0.441,0.0004,2.0,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.0005,2.2,0.161,0.426,0.0004,1.85,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.0005,2.78,0.2,0.442,0.0005,1.44,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00118,0.32,0.039,0.896,0.0009,,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00118,0.96,0.099,0.628,0.0009,2.02,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00118,1.58,0.138,0.507,0.001,2.66,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00118,2.2,0.182,0.478,0.001,2.51,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00118,2.78,0.248,0.49,0.0011,1.69,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00234,0.32,0.048,1.017,0.0018,,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00234,0.96,0.116,0.691,0.0018,2.28,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00234,1.58,0.168,0.569,0.0019,2.7,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00234,2.2,0.222,0.556,0.002,2.35,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Milgram & Van Houten data,0.00234,2.78,0.288,0.575,0.0022,1.7,smooth values at measurement heights,"Milgram (1983), Table 1"
