paper_id,paper_short_name,source_table,table_title,data_group,source_study,airflow_normal_m3_s,z_m,b_m,U_m_s,q_m3_s,gamma,alpha,W,value_basis,source,doi,notes
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.0221,3.85,0.524,1.008,0.0138,1.15,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.0221,5.45,0.72,0.945,0.0153,1.02,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.0221,7.05,0.911,0.881,0.0172,1.01,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.0221,8.65,1.086,0.807,0.0197,1.13,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00021,0.32,0.024,0.664,0.0002,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00021,0.96,0.064,0.432,0.0002,2.1,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00021,1.58,0.101,0.331,0.0002,2.45,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00021,2.2,0.129,0.319,0.0002,2.32,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00021,2.78,0.144,0.36,0.0002,1.93,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.0005,0.32,0.03,0.772,0.0004,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
